label,Iso_map,,,RandomTrees,,,Spec-tral,,,t_SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
154,-0.38004,-5.09152,-6.94208,4.69442,6.0019,-1.64956,0.00041,-0.00482,-0.00538,-77.992,7.63527,-26.58693,1,1,1,2,1
155,-2.32852,-2.55546,-4.31295,4.35871,5.86157,-2.44689,-0.00032,-0.00387,-0.00491,-16.04921,-87.551,10.96098,1,1,1,2,3
156,-3.57468,0.43922,-3.96517,6.97617,3.09992,-1.00161,-0.00138,-0.00125,-0.00734,1.18723,-34.17479,114.23031,1,1,1,1,1
157,1.78883,-9.91309,-1.16299,1.99805,6.56012,-2.03446,0.00171,-0.00748,-0.00111,38.74678,-27.90978,-25.43493,1,1,1,2,4
158,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,48.03298,-26.67594,-54.53114,2,2,1,2,4
159,2.08948,-10.26224,-0.92082,2.5336,6.79471,-2.1885,0.00166,-0.00717,-0.00127,28.33477,-24.37489,-40.43382,1,1,1,2,1
160,2.07585,-10.18871,-1.07209,2.73741,6.80519,-1.92906,0.00162,-0.00718,-0.00114,18.01467,-31.5292,-37.56149,1,1,1,2,1
161,-6.74674,2.67155,-3.13069,9.51895,0.26448,0.03353,-0.00307,0.0007,-0.0022,-12.84038,-9.97416,4.52289,1,1,1,2,1
162,-9.30332,4.58265,-0.1795,13.20525,-3.16052,2.04594,-0.00453,0.00361,-105,-77.44808,12.84202,10.08687,2,4,1,2,4
163,3.21765,-10.86484,2.05086,2.04986,7.36495,-2.17047,0.00196,-0.00832,0.00188,10.75002,-49.24958,-54.29914,1,1,1,2,2
164,0.03691,-10.46072,-2.54712,3.10312,6.75691,-2.52616,0.00101,-0.00673,-0.0005,-56.85909,-20.52014,14.70219,1,1,1,2,1
165,2.32893,-10.55894,3.90381,2.09451,7.35203,-2.37034,0.0019,-0.00864,0.00389,24.78949,-46.32112,-51.86454,1,1,1,2,3
166,-1.33096,-8.8447,-2.6365,4.12804,6.84261,-3.19332,0.00052,-0.00649,-0.00069,10.05554,-52.1136,-33.90883,1,1,1,2,3
167,-4.41906,-4.18985,-3.68399,5.67288,5.89129,-3.44102,-0.00106,-0.00374,-0.00268,-14.14006,-46.78716,-29.48998,1,1,1,2,3
168,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,-29.1362,-3.08853,14.49407,2,2,1,2,3
169,-2.87798,-5.04856,-4.4068,5.68174,5.97198,-3.34923,-0.00057,-0.00462,-0.00315,-70.92726,-6.55424,-38.02274,1,1,1,2,3
170,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,27.06415,11.09104,9.11102,2,2,1,2,2
